,"ID","elevation","gridID","island","year",".geo","reference_new","reference_old","strata","upland_old","upland_new"
0,4102765,600,9748513,"viti","2007-2008","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.7188928572262,-17.77061266007084]}",112,112,112,1,1
1,7707115,678,14441310,"viti","2007-2008","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.9684448431546,-18.01127132468646]}",112,112,112,1,1
2,3494720,698,8917407,"viti","2007-2008","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.7113470088396,-17.727763021018347]}",112,112,112,1,1
3,3834508,950,9381303,"viti","2007-2008","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.99889773128626,-17.750400566178158]}",112,112,112,1,1
4,1584163,718,6103840,"viti","2006-2007","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.86145549281594,-17.581966450405744]}",112,112,112,1,1
5,2932481,752,8155785,"viti","2006-2007","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.01614538474132,-17.68706933864773]}",112,112,112,1,1
6,556072,652,3932214,"viti","2006-2007","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.07408672056704,-17.46904821919192]}",112,112,112,1,1
7,3058720,706,8328025,"viti","2006-2007","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.63723599789972,-17.697579627471924]}",112,112,112,1,1
8,2993754,753,8238952,"viti","2006-2007","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.73533202692556,-17.69272872493768]}",112,112,112,1,1
9,5293311,979,11290606,"viti","2006-2007","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.97787715363785,-17.848766089789237]}",112,112,112,1,1
10,1113281,624,5168248,"viti","2013-2014","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.05576108877102,-17.53291843589281]}",112,112,112,1,1
11,2789070,698,7965000,"viti","2013-2014","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.6129814852285,-17.678984501090653]}",112,112,112,1,1
12,5058073,595,10990603,"viti","2013-2014","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.92586469868735,-17.83367439301604]}",112,112,112,1,1
13,5935913,671,12114902,"viti","2013-2014","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.5464163226752,-17.892963201767927]}",112,112,112,1,1
14,7918791,729,14704012,"viti","2013-2014","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.8840930379758,-18.02528504311873]}",112,112,112,1,1
15,4072897,890,9707256,"viti","2013-2014","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.95173617886996,-17.76737872504802]}",112,112,112,1,1
16,3155503,687,8459539,"viti","2008-2009","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.64127841667823,-17.704316992102818]}",112,112,112,1,1
17,3909999,682,9485308,"viti","2008-2009","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.66095152140048,-17.75713793080905]}",112,112,112,1,1
18,5907231,679,12078327,"viti","2008-2009","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.61567643108083,-17.891076739671277]}",112,112,112,1,1
19,1952890,1155,6767183,"viti","2008-2009","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.02665567356553,-17.615383778974987]}",112,112,112,1,1
20,3736328,913,9249756,"viti","2008-2009","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.98569249660966,-17.743663201547264]}",112,112,112,1,1
21,2660134,799,7798036,"viti","2015-2016","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.99647228001913,-17.668743706851686]}",112,112,112,1,1
22,8248180,735,15098041,"viti","2015-2016","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.75069321828403,-18.04603612618189]}",112,112,112,1,1
23,1725973,644,6377407,"viti","2015-2016","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.87493022207775,-17.59598016883801]}",112,112,112,1,1
24,5555241,643,11628004,"viti","2015-2016","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.1923948434856,-17.864935764903393]}",112,112,112,1,1
25,1481445,682,5899483,"viti","2015-2016","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.0827105472946,-17.570378183240607]}",112,112,112,1,1
26,4095662,781,9738614,"viti","2015-2016","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.89460332679994,-17.76926518714467]}",112,112,112,1,1
27,5157814,914,11117264,"viti","2009-2010","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.04498130536155,-17.83960327389123]}",112,112,112,1,1
28,5801114,768,11942757,"viti","2009-2010","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.95281415721092,-17.88245291294372]}",112,112,112,1,1
29,2620176,742,7745596,"viti","2009-2010","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.04174737033873,-17.66577926641409]}",112,112,112,1,1
30,4072611,669,9706970,"viti","2009-2010","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.87088780329918,-17.767648219633244]}",112,112,112,1,1
31,7820379,636,14582571,"viti","2009-2010","{""geodesic"":false,""type"":""Point"",""coordinates"":[177.75338816413637,-18.01962565682878]}",112,112,112,1,1
32,6541899,616,12911671,"viti","2009-2010","{""geodesic"":false,""type"":""Point"",""coordinates"":[178.25707354394217,-17.93069244370095]}",112,112,112,1,1
