predicted,observed
712,777
712,777
712,777
712,777
712,777
712,777
712,777
712,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
172,777
172,777
172,777
172,777
172,777
172,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
711,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
171,777
111,777
111,777
111,777
111,777
111,777
111,777
111,777
111,777
112,777
112,777
712,777
712,777
712,777
712,777
712,777
712,777
712,777
712,777
712,777
712,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
777,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
172,777
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
711,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
171,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
112,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
712,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
777,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
172,111
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
777,112
777,112
777,112
777,112
777,112
777,112
777,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
711,171
711,171
711,171
711,171
711,171
711,171
711,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
171,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
111,171
112,171
112,171
112,171
112,171
112,171
712,171
712,171
712,171
712,171
712,171
712,171
712,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
777,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
172,171
112,172
112,172
712,172
712,172
777,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
172,172
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
711,711
777,711
777,711
777,711
777,711
777,711
777,711
777,711
171,711
171,711
171,711
171,711
171,711
171,711
111,711
111,711
111,711
111,711
111,711
111,711
111,711
112,711
112,711
112,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
712,711
