predicted,observed
1125,112
112,112
171,111
1125,112
172,112
1115,111
711,777
1115,111
112,112
112,112
555,777
111,111
555,111
711,111
711,777
171,111
171,111
111,111
1115,111
1125,112
777,777
172,112
712,112
777,777
777,777
1115,111
711,111
112,112
1125,112
1125,112
1115,111
172,112
1125,112
777,777
1115,111
711,111
555,111
1115,111
1115,111
172,112
172,112
712,112
712,112
171,111
111,111
172,112
555,777
1125,112
171,111
1115,111
111,111
172,112
711,111
112,112
112,112
712,112
172,112
112,112
171,111
112,112
171,777
111,111
1115,111
777,777
555,111
1115,111
711,111
172,112
555,111
1115,111
712,112
712,112
555,111
712,112
555,777
172,112
1125,112
111,111
711,111
172,112
712,112
111,111
1115,111
555,111
555,777
712,112
111,111
1125,112
1125,112
712,112
777,777
111,111
555,111
112,112
172,112
555,777
712,112
112,112
712,112
712,112
172,112
1125,112
712,112
711,111
777,777
111,111
712,112
1125,112
172,112
1115,111
711,111
555,111
171,777
172,777
171,111
111,777
711,777
777,777
7775,777
172,172
1125,112
1125,112
712,112
711,111
711,711
171,111
1115,111
1125,112
172,777
711,111
111,111
111,111
172,777
777,777
111,111
711,111
555,111
112,112
112,112
1115,111
555,111
777,777
555,111
171,711
711,711
111,111
777,111
711,111
172,112
712,112
111,111
712,112
555,111
1125,112
555,111
112,112
172,112
171,111
712,112
1125,112
1115,111
172,172
171,171
712,112
712,112
172,172
171,777
172,112
1125,112
711,111
111,111
112,112
1115,111
1125,112
777,777
172,112
777,777
171,111
712,112
172,112
712,112
1115,111
711,111
1125,112
112,112
172,112
171,777
1125,112
172,112
1115,111
777,777
171,777
777,777
777,777
172,112
112,112
777,777
1115,111
711,111
711,777
111,711
1125,112
711,777
1125,112
1115,111
711,111
111,111
777,777
112,112
171,111
171,111
1115,111
111,111
111,111
777,111
111,111
1115,111
712,112
555,111
112,112
712,112
712,112
555,777
1115,111
172,112
112,112
555,111
711,111
111,111
555,111
172,112
171,111
1125,112
171,111
112,112
1115,111
172,112
1115,111
712,112
111,111
1125,112
555,111
712,112
171,777
712,112
111,111
777,777
