    year   area_ha age_yrs
235 2018   1.70000       1
236 2018   1.90000       1
237 2018   2.01000       1
238 2018   2.40000       1
239 2018   4.92000       1
240 2018  15.60000       1
241 2018  17.60000       1
242 2018  23.04000       1
243 2018   0.70000       2
244 2018   1.71000       2
245 2018   3.60000       2
246 2018   0.60000       3
247 2018   0.63000       3
248 2018   1.61491       3
249 2018   3.07000       3
250 2018   4.11549       3
251 2018   6.83000       3
252 2018  14.50000       3
253 2018  31.20000       3
254 2018   1.75000       4
255 2018   3.85000       4
256 2018   7.40000       4
257 2018  22.90000       4
258 2018   3.57000       5
259 2018   0.57000       6
260 2018   2.40000       6
261 2018   4.80000       6
262 2018  12.50000       6
263 2018  10.90000       7
264 2018  12.40000       7
265 2018  14.04000       7
266 2018  19.49000       7
267 2018   4.09000       8
268 2018   6.48000       8
269 2018  11.80000       8
270 2018  15.70000       8
271 2018  19.20000       8
272 2018   3.79000      14
273 2018   8.40000      14
274 2018  10.46000      14
275 2018  13.70000      14
276 2018   0.93000      15
277 2018   7.75000      15
278 2018   9.29000      15
279 2018  22.90000      15
280 2018  22.70000      17
281 2018   1.80000      18
282 2018   2.80000      18
283 2018   4.70000      18
284 2018  50.02000      18
285 2018   4.12000      20
286 2018  20.40000      20
287 2018  54.01000      20
288 2018  14.80000      21
289 2018  90.90000      21
290 2018  11.70000      22
291 2018  18.80000      23
292 2018   7.63000      27
293 2018  23.60000      27
294 2018  12.60000      28
