,year,area_ha,age_yrs
1,2015,0.6,15
2,2015,0.7,39
3,2015,1,33
4,2015,1.5,20
5,2015,1.7,38
6,2015,2.4,1
7,2015,2.6,13
8,2015,2.7,19
9,2015,3.9,2
10,2015,3.9,24
11,2015,4.2,26
12,2015,4.3,10
13,2015,4.4,15
14,2015,4.9,4
15,2015,5.4,15
16,2015,5.5,4
17,2015,5.9,19
18,2015,6.1,16
19,2015,6.2,15
20,2015,6.8,3
21,2015,7.3,19
22,2015,7.8,22
23,2015,7.9,16
24,2015,8.1,2
25,2015,8.5,14
26,2015,9.3,20
27,2015,9.7,1
28,2015,9.8,15
29,2015,10.7,14
30,2015,10.8,6
31,2015,10.9,20
32,2015,11.3,1
33,2015,11.6,20
34,2015,12.1,9
35,2015,13,12
36,2015,13.2,3
37,2015,13.4,25
38,2015,14.1,3
39,2015,15,14
40,2015,15.1,3
41,2015,15.2,17
42,2015,16,18
43,2015,16,6
44,2015,16.2,25
45,2015,16.8,20
46,2015,17.4,29
47,2015,17.4,14
48,2015,17.8,31
49,2015,18,4
50,2015,18,13
51,2015,18.3,14
52,2015,18.4,14
53,2015,19.3,18
54,2015,19.8,9
55,2015,19.9,1
56,2015,20,24
57,2015,21,32
58,2015,21.6,13
59,2015,21.7,1
60,2015,23,13
61,2015,23.6,13
62,2015,25.2,4
63,2015,25.9,26
64,2015,25.93,1
65,2015,26.1,2
66,2015,27,22
67,2015,29,2
68,2015,29.5,24
69,2015,31.8,13
70,2015,32.1,24
71,2015,35.8,13
72,2015,41.2,4
73,2015,41.8,24
74,2015,43.7,24
75,2015,47.1,4
76,2015,47.8,25
77,2015,57.6,23
78,2015,72,3
79,2015,117.8,6
80,2016,0.3,6
81,2016,1.5,4
82,2016,1.5,23
83,2016,1.7,29
84,2016,3.2,18
85,2016,3.4,2
86,2016,4.6,5
87,2016,4.7,1
88,2016,4.8,44
89,2016,5.1,44
90,2016,5.2,6
91,2016,5.8,20
92,2016,7.6,27
93,2016,10,14
94,2016,11.6,20
95,2016,12,23
96,2016,12.7,25
97,2016,14.46,2
98,2016,14.6,4
99,2016,14.8,1
100,2016,17.5,13
101,2016,17.5,13
102,2016,17.5,13
103,2016,18.2,13
104,2016,23.7,11
105,2016,25.3,2
106,2016,25.8,25
107,2016,26,23
108,2016,27.6,17
109,2016,36.3,4
110,2016,45.5,5
111,2016,56.6,13
112,2016,56.96,14
113,2016,64.6,10
114,2016,257,11
115,2017,63.9,3
116,2017,6.85,25
117,2017,0.89,2
118,2017,8.5,7
