predicted,observed
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
112,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,777
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,777
712,777
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,777
712,777
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,112
712,777
712,112
712,112
172,112
172,112
172,777
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,172
172,777
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,172
172,112
172,777
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,777
172,172
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,172
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,112
172,777
172,112
172,112
