id	year	area_ha	age_yrs
1	2022	4.29	55
2	2022	2.33	36
3	2022	0.93	34
4	2022	6.34	24
5	2022	0.48	23
6	2022	29.67	20
7	2022	11.78	20
8	2022	4.47	20
9	2022	0.82	20
10	2022	3.68	20
11	2022	15	19
12	2022	55.49	19
13	2022	15.68	18
14	2022	27.67	17
15	2022	9.58	17
16	2022	35.09	16
17	2022	27.21	15
18	2022	7.65	12
19	2022	4.57	12
20	2022	14.12	11
21	2022	1.26	10
22	2022	12.43	10
23	2022	4.65	7
24	2022	42.81	7
25	2022	1.73	6
26	2022	17.06	6
27	2022	3.1	6
28	2022	8.45	5
29	2022	4.8	5
30	2022	47.5	5
31	2022	35.21	5
32	2022	7.26	4
33	2022	2.15	4
34	2022	1.2	4
35	2022	15.96	4
36	2022	0.1	4
37	2022	9.38	4
38	2022	4.43	3
39	2022	17.81	3
40	2022	24.1	3
41	2022	9.73	2
42	2022	10.49	2
43	2022	1.38	2
44	2022	19.8	2
45	2022	26.26	2
46	2022	8.31	2
47	2022	33.39	2
48	2022	13.07	2
49	2022	14.68	2
50	2022	4.49	2
51	2022	6.5	2
52	2022	34.3	1
53	2022	0.97	1
54	2022	34.4	1
55	2022	2.3	1
56	2022	1.3	1
57	2022	14	1
58	2022	16.06	1
59	2022	2.98	1
60	2022	7.7	1
61	2022	5.5	1
62	2022	0.6	1
63	2022	0.75	1
64	2022	0.9	1
65	2022	6.52	2
66	2022	1.72	0.5
67	2022	2.45	0.5
68	2022	9.05	0.5
69	2022	9.38	0.5
70	2022	3.17	0.5
71	2022	1.64	0.5
