id	year	area_ha	age_yrs
1	2023	7.72	2
2	2023	0.22	2
3	2023	14.53	2
4	2023	13.52	1
5	2023	13.00	0.5
6	2023	6.30	1
7	2023	1.40	1
8	2023	4.65	4
9	2023	180.00	1
10	2023	22.50	7
11	2023	8.41	3
12	2023	14.00	8
13	2023	1.77	0.5
14	2023	1.79	2
15	2023	2.91	1
16	2023	1.38	1
17	2023	1.73	1
18	2023	0.31	2
19	2023	0.61	1
20	2023	0.09	0.5
21	2023	2.49	1
22	2023	2.82	1
23	2023	5.70	1
24	2023	13.47	1
25	2023	21.36	21
26	2023	10.36	4
27	2023	2.07	5
28	2023	3.36	5
29	2023	2.45	11
30	2023	0.17	11
31	2023	16.15	6
32	2023	4.33	10
33	2023	91.67	10
34	2023	13.22	1
35	2023	12.79	0.5
36	2023	15.08	1
37	2023	4.02	6
38	2023	2.44	23
39	2023	15.80	3
40	2023	3.20	5
41	2023	2.90	0.5
42	2023	0.76	10
43	2023	0.45	10
44	2023	0.26	5
45	2023	0.19	20
46	2023	9.25	3
47	2023	17.50	2
48	2023	23.70	1
49	2023	7.00	0.5
50	2023	100.00	6
51	2023	9.63	7
52	2023	20.80	2
53	2023	19.66	1
54	2023	3.27	2
55	2023	4.68	11
56	2023	0.42	2
57	2023	0.41	2
58	2023	1.60	9
59	2023	4.66	0.5
60	2023	0.03	0.5
61	2023	3.39	45
62	2023	163.03	2
63	2023	51.98	2
64	2023	5.65	2
65	2023	10.00	5
66	2023	10.00	3
67	2023	40.00	1
68	2023	30.00	5
69	2023	30.00	5
70	2023	1.60	2
71	2023	3.06	2
72	2023	1.46	2
73	2023	1.07	2
74	2023	0.09	4
75	2023	0.35	1
76	2023	0.01	3
77	2023	6.77	2
78	2023	4.01	2
79	2023	0.44	3
80	2023	0.06	11
81	2023	0.02	3
82	2023	6.82	2
83	2023	18.89	4
84	2023	4.26	2
85	2023	0.02	6
86	2023	0.00	1
87	2023	0.02	2
88	2023	0.07	2
89	2023	0.70	0.5
90	2023	0.20	1
91	2023	1.79	2
92	2023	0.08	0.5
93	2023	0.43	2
94	2023	4.27	0.5
95	2023	0.74	1
