"","predicted","observed"
"1",171,777
"2",711,111
"3",711,111
"4",711,111
"5",711,111
"6",711,111
"7",171,777
"8",711,111
"9",171,777
"10",711,111
"11",711,111
"12",711,111
"13",711,111
"14",711,111
"15",711,111
"16",171,777
"17",711,111
"18",711,111
"19",171,777
"20",711,111
"21",171,777
"22",711,111
"23",711,111
"24",711,111
"25",711,111
"26",711,111
"27",711,111
"28",711,111
"29",711,111
"30",711,111
"31",711,111
"32",711,111
"33",711,111
"34",711,111
"35",711,171
"36",711,111
"37",711,171
"38",711,111
"39",711,111
"40",711,111
"41",711,111
"42",711,111
"43",171,111
"44",171,111
"45",171,111
"46",171,111
"47",171,111
"48",171,111
"49",171,111
"50",171,111
"51",171,111
"52",171,111
"53",171,111
"54",171,111
"55",171,111
"56",171,111
"57",171,111
"58",171,111
"59",171,111
"60",171,111
"61",171,111
"62",171,111
"63",171,111
"64",171,171
"65",171,711
"66",171,171
"67",171,777
"68",171,777
"69",171,777
"70",171,777
"71",171,171
"72",171,171
"73",171,171
"74",171,171
"75",171,777
"76",171,777
"77",171,777
"78",171,171
"79",171,777
"80",171,171
"81",171,711
"82",171,777
"83",171,171
"84",171,777
"85",711,711
"86",711,711
"87",711,711
"88",711,711
"89",711,711
"90",711,711
"91",711,711
"92",711,711
"93",711,711
"94",711,711
"95",711,711
"96",711,171
"97",711,711
"98",711,711
"99",711,711
"100",711,711
"101",711,711
"102",711,711
"103",711,711
"104",711,711
"105",711,711
"106",711,777
"107",711,777
"108",711,711
"109",711,777
"110",711,777
"111",711,777
"112",711,777
"113",711,711
"114",711,777
"115",711,777
"116",711,711
"117",711,711
"118",711,777
"119",711,777
"120",711,711
"121",711,711
"122",711,711
"123",711,711
"124",711,777
"125",711,711
"126",711,711
"127",171,171
"128",171,171
"129",171,171
"130",171,171
"131",171,111
"132",171,171
"133",171,111
"134",171,111
"135",171,171
"136",171,111
"137",171,171
"138",171,111
"139",171,171
"140",171,171
"141",171,111
"142",171,171
"143",171,171
"144",171,171
"145",171,171
"146",171,171
"147",171,171
"148",711,711
"149",171,171
"150",171,171
"151",171,171
"152",171,171
"153",171,171
"154",171,171
"155",171,171
"156",171,171
"157",711,711
"158",171,171
"159",711,711
"160",711,711
"161",711,711
"162",711,711
"163",171,171
"164",711,711
"165",711,711
"166",171,171
"167",711,711
"168",171,171
"169",171,171
"170",171,171
"171",711,711
"172",171,171
"173",171,171
"174",171,171
"175",171,171
"176",711,711
"177",171,171
"178",711,711
"179",711,711
"180",171,711
"181",711,711
"182",171,171
"183",171,711
"184",711,711
"185",171,171
"186",171,171
"187",711,711
"188",171,171
"189",171,171
"190",711,711
"191",171,171
"192",171,171
"193",711,711
"194",711,711
"195",711,711
"196",171,171
"197",711,711
"198",171,171
"199",711,711
"200",711,711
"201",171,171
"202",711,711
"203",711,711
"204",171,171
"205",171,171
"206",171,171
"207",711,711
"208",171,171
"209",171,171
"210",171,171
"211",711,711
"212",711,711
"213",711,711
"214",711,711
"215",171,171
"216",711,711
"217",171,171
"218",711,711
"219",171,171
"220",711,711
"221",711,711
"222",171,171
"223",711,711
"224",711,711
"225",711,711
"226",171,171
"227",711,711
"228",711,711
"229",711,711
"230",711,711
"231",711,711
"232",711,711
"233",711,711
"234",711,171
"235",711,711
"236",711,711
"237",711,711
"238",171,171
"239",171,171
"240",171,171
"241",711,711
"242",711,711
"243",711,711
"244",711,711
"245",711,171
"246",171,171
"247",171,171
"248",711,711
"249",711,711
"250",711,711
"251",171,171
"252",171,171
"253",172,777
"254",712,112
"255",172,777
"256",172,777
"257",712,112
"258",172,777
"259",172,777
"260",712,112
"261",172,777
"262",172,777
"263",712,112
"264",172,777
"265",172,777
"266",172,777
"267",712,112
"268",712,112
"269",172,777
"270",712,112
"271",712,112
"272",712,112
"273",172,777
"274",712,172
"275",712,172
"276",712,112
"277",712,112
"278",712,112
"279",712,112
"280",712,112
"281",712,112
"282",712,112
"283",712,112
"284",712,172
"285",712,112
"286",712,112
"287",712,112
"288",712,112
"289",712,112
"290",712,112
"291",712,112
"292",712,112
"293",712,112
"294",712,112
"295",172,112
"296",172,112
"297",172,112
"298",172,112
"299",172,112
"300",172,112
"301",172,112
"302",172,112
"303",172,112
"304",172,112
"305",172,112
"306",172,112
"307",172,112
"308",172,112
"309",172,112
"310",172,112
"311",172,112
"312",172,112
"313",172,112
"314",172,112
"315",172,112
"316",172,712
"317",172,172
"318",172,172
"319",172,777
"320",172,172
"321",172,777
"322",172,172
"323",172,172
"324",172,172
"325",172,172
"326",172,172
"327",172,172
"328",172,172
"329",172,172
"330",172,172
"331",172,172
"332",172,777
"333",172,172
"334",172,172
"335",172,172
"336",172,172
"337",712,712
"338",712,712
"339",712,712
"340",712,712
"341",712,712
"342",712,712
"343",712,712
"344",712,712
"345",712,712
"346",712,712
"347",712,712
"348",712,712
"349",712,712
"350",712,712
"351",712,712
"352",712,712
"353",712,712
"354",712,712
"355",712,712
"356",712,712
"357",712,712
"358",712,712
"359",712,712
"360",712,712
"361",712,777
"362",712,777
"363",712,777
"364",712,712
"365",712,712
"366",712,777
"367",712,712
"368",712,777
"369",712,777
"370",712,712
"371",712,712
"372",712,777
"373",712,712
"374",712,712
"375",712,777
"376",712,777
"377",712,777
"378",712,777
"379",172,172
"380",172,172
"381",172,172
"382",172,172
"383",172,172
"384",172,172
"385",172,172
"386",172,172
"387",172,172
"388",172,112
"389",172,172
"390",172,172
"391",172,112
"392",172,112
"393",172,172
"394",172,172
"395",172,172
"396",172,172
"397",172,172
"398",172,172
"399",172,172
"400",172,172
"401",172,172
"402",712,712
"403",172,712
"404",712,712
"405",712,712
"406",172,172
"407",712,712
"408",172,172
"409",712,712
"410",172,172
"411",712,712
"412",172,172
"413",172,172
"414",712,712
"415",712,712
"416",712,712
"417",172,172
"418",172,172
"419",712,712
"420",172,712
"421",712,712
"422",172,172
"423",712,712
"424",712,112
"425",172,172
"426",712,712
"427",712,712
"428",712,712
"429",712,712
"430",172,172
"431",172,172
"432",712,712
"433",172,172
"434",172,172
"435",712,712
"436",172,172
"437",712,172
"438",172,172
"439",712,712
"440",172,172
"441",172,172
"442",172,172
"443",172,172
"444",712,712
"445",172,172
"446",172,172
"447",712,712
"448",172,172
"449",712,712
"450",172,172
"451",712,712
"452",172,172
"453",172,172
"454",172,172
"455",712,712
"456",712,712
"457",172,172
"458",712,712
"459",172,172
"460",712,712
"461",712,712
"462",712,712
"463",172,172
"464",172,172
"465",172,172
"466",172,172
"467",712,712
"468",172,172
"469",712,712
"470",712,712
"471",712,712
"472",172,172
"473",172,172
"474",712,712
"475",172,172
"476",172,172
"477",712,712
"478",172,172
"479",172,172
"480",712,712
"481",172,172
"482",172,172
