                         name       v
31                 AReforArea  0.0878
9  BiomassConvExpansionARefor -0.0123
10     BiomassConvExpansionHW  0.0186
11  BiomassConvExpansionIncHW  0.0264
16               DeforAreaLow  0.0110
22                DeforAreaUp  0.0000
2                  EFDeforLow -0.0055
1                   EFDeforUp  0.0169
5                     EFNFDeg -0.0113
17              ErpaYearlyFRL  0.0228
18         ErpaYearlyFRLDefor  0.1936
20           ErpaYearlyFRLEnh  0.1868
19          ErpaYearlyFRLFDeg -0.0126
21  ErpaYearlyFRLFDegNonProxy  0.2931
41               FDegFellArea   2e-04
51           FPlnAreaPlantHwd -0.0183
61           FPlnAreaPlantSwd  0.0384
4                      MAIBsw  0.0572
6                    MAICFell  0.0040
7                      MAIVar  0.0411
8                      MAIVhw  0.0081
71                  NFDegArea  0.0064
15                   Recovery  0.0413
14      RootToShootDryLandBig  0.0116
13    RootToShootDryLandSmall  0.0078
12        RootToShootTropRain  0.0082
3                         TEF -0.0118
